Application ID,Application Name,Description,Business Owner,Technical Owner,Department,Business Criticality,User Count,Technology Stack,Hosting Model,Vendor,Version,Install Date,Last Major Update,End of Support Date,Annual License Cost,Annual Infrastructure Cost,Annual Support Cost,FTE Support,Monthly Incidents,Monthly Availability %,Integration Count,Data Classification,Compliance Requirements,Replacement Planned,Notes
APP001,Enterprise ERP,Core financial and operations system,John Smith,Sarah Johnson,Finance,Critical,500,SAP,On-Premise,SAP,S/4HANA 2021,2018-01-15,2023-06-01,2028-12-31,250000,150000,100000,3.5,15,99.5,25,Confidential,SOX GDPR,No,Mission critical system
APP002,CRM System,Customer relationship management,Mike Chen,Lisa Wang,Sales,High,200,Salesforce,Cloud/SaaS,Salesforce,Enterprise,2020-03-01,2024-01-15,,180000,0,20000,1.0,5,99.9,12,Confidential,GDPR,No,Recently upgraded
APP003,HR Management,Employee management and payroll,Susan Lee,Tom Brown,HR,High,150,Workday,Cloud/SaaS,Workday,2024.1,2019-06-01,2024-02-01,,120000,0,15000,0.5,3,99.8,8,Restricted,SOX GDPR,No,Stable system
APP004,Legacy Inventory,Old inventory tracking system,Robert Davis,Amy Wilson,Operations,Low,25,COBOL,On-Premise,Internal,3.2,2005-03-15,2015-06-01,2020-12-31,0,45000,60000,2.0,30,97.5,3,Internal,,Yes,End of life - migration planned
APP005,Data Warehouse,Business intelligence and reporting,Jennifer Garcia,David Miller,IT,High,300,Oracle,On-Premise,Oracle,19c,2017-09-01,2022-11-01,2027-04-30,175000,200000,50000,2.5,10,99.6,35,Confidential,SOX,No,Core analytics platform
APP006,Email System,Corporate email and calendar,All Departments,Chris Taylor,IT,Critical,2000,Microsoft 365,Cloud/SaaS,Microsoft,E5,2021-01-15,2024-03-01,,480000,0,0,0.3,8,99.95,15,Confidential,GDPR HIPAA,No,Enterprise-wide
APP007,Project Management,Project tracking and resource management,PMO Office,Kevin Anderson,PMO,Medium,100,Monday.com,Cloud/SaaS,Monday,Business,2022-04-01,2023-09-01,,36000,0,0,0.2,2,99.9,4,Internal,,No,Recently adopted
APP008,Document Management,Document storage and workflow,Legal Department,Michelle Thomas,Legal,High,175,SharePoint,Cloud/SaaS,Microsoft,Online,2020-07-01,2023-12-01,,0,0,0,0.5,5,99.8,10,Restricted,SOX GDPR,No,Part of M365 suite
APP009,Legacy CRM,Old customer database,Mike Chen,James Jackson,Sales,Low,15,Access,On-Premise,Microsoft,2010,2010-05-01,2012-03-01,2020-10-13,0,5000,15000,0.5,20,95.0,2,Confidential,GDPR,Yes,Being replaced by Salesforce
APP010,Supply Chain,Supply chain management and logistics,Operations Team,Patricia White,Operations,High,80,Oracle SCM,Cloud/SaaS,Oracle,Cloud,2021-08-01,2024-01-15,,200000,0,30000,1.5,7,99.7,18,Confidential,SOX,No,Critical for operations
APP011,Custom Analytics,Custom analytics application,Analytics Team,Daniel Harris,IT,Medium,50,Python/Flask,On-Premise,Internal,2.1,2020-02-15,2023-08-01,,0,25000,0,1.0,4,99.0,5,Confidential,,No,Internal development
APP012,Vendor Portal,Supplier self-service portal,Procurement,Nancy Martin,Procurement,Medium,500,Java,On-Premise,Internal,4.5,2016-09-01,2021-04-01,,0,40000,20000,1.0,12,98.5,6,Internal,,No,Considering SaaS replacement
APP013,Time Tracking,Employee time and attendance,HR Department,Tom Brown,HR,Medium,1800,Kronos,Cloud/SaaS,UKG,WFC 8.1,2018-11-01,2023-02-01,2026-12-31,75000,0,10000,0.3,3,99.7,4,Internal,Labor Laws,No,Integration with payroll
APP014,Expense Management,Employee expense reporting,Finance Team,Sarah Johnson,Finance,Medium,500,Concur,Cloud/SaaS,SAP,Standard,2019-04-01,2023-06-01,,45000,0,5000,0.2,2,99.8,3,Confidential,SOX,No,Well adopted
APP015,Learning Management,Employee training platform,HR Department,Amanda Clark,HR,Low,1500,Cornerstone,Cloud/SaaS,Cornerstone,SaaS,2020-01-15,2024-01-01,,60000,0,8000,0.3,4,99.5,2,Internal,,No,Good user satisfaction
APP016,Help Desk,IT service management,IT Service Desk,Chris Taylor,IT,High,2000,ServiceNow,Cloud/SaaS,ServiceNow,Tokyo,2019-08-01,2024-02-01,,150000,0,20000,1.0,5,99.9,20,Internal,,No,Enterprise ITSM platform
APP017,Budgeting Tool,Financial planning and budgeting,Finance Team,Sarah Johnson,Finance,High,50,Anaplan,Cloud/SaaS,Anaplan,Current,2021-03-01,2024-01-15,,200000,0,25000,0.5,3,99.8,5,Restricted,SOX,No,Critical for planning cycle
APP018,Contract Management,Legal contract lifecycle,Legal Department,Michelle Thomas,Legal,Medium,30,DocuSign CLM,Cloud/SaaS,DocuSign,CLM,2022-06-01,2023-11-01,,48000,0,6000,0.2,2,99.7,3,Restricted,,No,Recently implemented
APP019,Old Reporting,Legacy reporting tool,Various,David Miller,IT,Low,20,.NET,On-Premise,Internal,1.8,2012-07-01,2016-09-01,,0,15000,25000,1.5,25,96.0,8,Confidential,,Yes,To be replaced by Power BI
APP020,Asset Management,IT asset tracking,IT Operations,Chris Taylor,IT,Medium,25,Asset Panda,Cloud/SaaS,Asset Panda,Pro,2021-11-01,2023-05-01,,12000,0,2000,0.1,1,99.6,2,Internal,,No,Simple and effective
